Employee #,Last Name,First Name,Birthday,Email,Phone Number,House/Block/Lot #,Street,Barangay,City/Municipality,Province,ZIP Code,Address,SSS #,Philhealth #,TIN #,Pag-ibig #,Employment Status,Position,Immediate Supervisor,Date Hired,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Status
10022,Delos Santos,Kolby ,2/26/1980,,739-443-033,,,,,,,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",52-0109570-6,3.57E+11,187-500-345-000,1.13E+11,Probationary,Account Rank and File,"Mata, Christian",,"24,000","1,500",500,500,"12,000",142.86,1
10023,Santos,Vella ,12/31/1983,,955-879-269,,,,,,,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",52-9883524-3,5.49E+11,101-558-994-000,3.60E+11,Probationary,Account Rank and File,"Mata, Christian",,"22,500","1,500",500,500,"11,250",133.93,1
10024,Del Rosario,Tomas,12/18/1978,,882-550-989,,,,,,,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",45-5866331-6,9.54E+11,560-735-732-000,9.13E+11,Probationary,Account Rank and File,"Mata, Christian",,"22,500","1,500",500,500,"11,250",133.93,1
10025,Tolentino,Jacklyn ,5/19/1984,,675-757-366,,,,,,,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",47-1692793-0,7.54E+11,841-177-857-000,2.11E+11,Probationary,Account Rank and File,"De Leon, Selena",,"24,000","1,500",500,500,"12,000",142.86,1
10026,Gutierrez,Percival ,12/18/1970,,512-899-876,,,,,,,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",40-9504657-8,7.98E+11,502-995-671-000,2.11E+11,Probationary,Account Rank and File,"De Leon, Selena",,"24,750","1,500",500,500,"12,375",147.32,1
10027,Manalaysay,Garfield ,8/28/1986,,948-628-136,,,,,,,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",45-3298166-4,8.11E+11,336-676-445-000,2.11E+11,Probationary,Account Rank and File,"De Leon, Selena",,"24,750","1,500",500,500,"12,375",147.32,1
10028,Villegas,Lizeth ,12/12/1981,,332-372-215,,,,,,,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",40-2400719-4,9.34E+11,210-395-397-000,1.22E+11,Probationary,Account Rank and File,"De Leon, Selena",,"24,000","1,500",500,500,"12,000",142.86,1
10029,Ramos,Carol ,8/20/1978,,250-700-389,,,,,,,"72/70 Stamm Spurs, Bustos 4550 Iloilo",60-1152206-4,3.52E+11,395-032-717-000,2.12E+11,Probationary,Account Rank and File,"De Leon, Selena",,"22,500","1,500",500,500,"11,250",133.93,1
10030,Maceda,Emelia ,4/14/1973,,973-358-041,,,,,,,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",54-1331005-0,4.65E+11,215-973-013-000,5.15E+11,Probationary,Account Rank and File,"De Leon, Selena",,"22,500","1,500",500,500,"11,250",133.93,1
10031,Aguilar,Delia ,1/27/1989,,529-705-439,,,,,,,"95 Cremin Junction, Surallah 2809 Cotabato",52-1859253-1,1.36E+11,599-312-588-000,1.10E+11,Probationary,Account Rank and File,"De Leon, Selena",,"22,500","1,500",500,500,"11,250",133.93,1
10032,Castro,John Rafael,2/9/1992,,332-424-955 ,,,,,,,"Hi-way, Yati, Liloan Cebu",26-7145133-4,6.02E+11,404-768-309-000,6.98E+11,Regular,Sales & Marketing,"Reyes, Isabella",,"52,670","1,500","1,000","1,000","26,335",313.51,1
10033,Martinez,Carlos Ian,11/16/1990,,078-854-208,,,,,,,"Bulala, Camalaniugan",11-5062972-7,3.81E+11,256-436-296-000,9.93E+11,Regular,Supply Chain and Logistics,"Reyes, Isabella",,"52,670","1,500","1,000","1,000","26,335",313.51,1
10034,Santos,Beatriz,8/7/1990,,526-639-511,,,,,,,"Agapita Building, Metro Manila",20-2987501-5,9.18E+11,911-529-713-000,8.74E+11,Regular,Customer Service and Relations,"Reyes, Isabella",,"52,670","1,500","1,000","1,000","26,335",313.51,1
