Employee #,Last Name,First Name,Birthday,Email,Phone Number,House/Block/Lot #,Street,Barangay,City/Municipality,Province,ZIP Code,SSS #,Philhealth #,TIN #,Pag-ibig #,Employment Status,Position,Immediate Supervisor,Date Hired,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Status
10011,Salcedo,Anthony,9/14/1993,Salcedo.Anthony@motorph.com.ph,070-766-300,93/54 Shanahan Alley Apt. 183,,Santo Tomas,,Masbate,1572,26-9647608-3,1.26E+11,210-805-911-000,2.18E+11,Regular,Payroll Manager,"Alvaro, Roderick",6/1/2024,"50,825.00","1,500.00","1,000.00","1,000.00","25,413.00",302.53,TRUE
10012,Lopez,Josie ,1/14/1987,Lopez.Josie@motorph.com.ph,478-355-427,49 Springs Apt. 266,,Poblacion,Taguig,Occidental Mindoro,3200,44-8563448-3,4.32E+11,218-489-737-000,1.13E+11,Regular,Payroll Team Leader,"Salcedo, Anthony",6/1/2024,"38,475.00","1,500.00",800.00,800.00,"19,238.00",229.02,TRUE
10013,Farala,Martha,1/11/1942,Farala.Martha@motorph.com.ph,329-034-366,42/25 Sawayn Stream,,Ubay,,Zamboanga del Norte,1208,45-5656375-0,2.34E+11,210-835-851-000,6.31E+11,Regular,Payroll Rank and File,"Salcedo, Anthony",6/1/2024,"24,000.00","1,500.00",500.00,500.00,"12,000.00",142.86,TRUE
10014,Martinez,Leila,7/11/1970,Martinez.Leila@motorph.com.ph,877-110-749,37/46 Kulas Roads,,Maragondon,,Quirino,962,27-2090996-4,5.16E+11,275-792-513-000,1.01E+11,Regular,Payroll Rank and File,"Salcedo, Anthony",6/1/2024,"24,000.00","1,500.00",500.00,500.00,"12,000.00",142.86,TRUE
10015,Romualdez,Fredrick ,3/10/1985,Romualdez.Fredrick@motorph.com.ph,023-079-009,22A/52 Lubowitz Meadows,,Pililla,,Zambales,4895,26-8768374-1,3.08E+11,598-065-761-000,2.23E+11,Regular,Account Manager,"Lim, Antonio",6/1/2024,"53,500.00","1,500.00","1,000.00","1,000.00","26,750.00",318.45,TRUE
10016,Mata,Christian,10/21/1987,Mata.Christian@motorph.com.ph,783-776-744,90 O'Keefe Spur Apt. 379,,Catigbian,,Sulu,2772,49-2959312-6,8.24E+11,103-100-522-000,6.31E+11,Regular,Account Team Leader,"Romualdez, Fredrick ",6/1/2024,"42,975.00","1,500.00",800.00,800.00,"21,488.00",255.80,TRUE
10017,De Leon,Selena ,2/20/1975,De Leon.Selena@motorph.com.ph,975-432-139,89A Armstrong Trace,,Compostela,,Maguindanao,7874,27-2090208-8,5.87E+11,482-259-498-000,7.19E+11,Regular,Account Team Leader,"Romualdez, Fredrick ",6/1/2024,"41,850.00","1,500.00",800.00,800.00,"20,925.00",249.11,TRUE
10018,San Jose,Allison ,6/24/1986,San Jose.Allison@motorph.com.ph,179-075-129,08 Grant Drive Suite 406,,Poblacion,Iloilo City,La Union,9186,45-3251383-0,7.45E+11,121-203-336-000,1.15E+11,Regular,Account Rank and File,"Mata, Christian",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10019,Rosario,Cydney ,10/6/1996,Rosario.Cydney@motorph.com.ph,868-819-912,93A/21 Berge Points,,Tapaz,,Quezon,2180,49-1629900-2,5.79E+11,122-244-511-000,2.65E+11,Regular,Account Rank and File,"Mata, Christian",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10020,Bautista,Mark ,2/12/1991,Bautista.Mark@motorph.com.ph,683-725-348,65 Murphy Center Suite 094,,Poblacion,Palayan,Quirino,5636,49-1647342-5,4.00E+11,273-970-941-000,2.60E+11,Regular,Account Rank and File,"Mata, Christian",6/1/2024,"23,250.00","1,500.00",500.00,500.00,"11,625.00",138.39,TRUE
10021,Lazaro,Darlene ,11/25/1985,Lazaro.Darlene@motorph.com.ph,740-721-558,47A/94 Larkin Plaza Apt. 179,,Poblacion,Caloocan,Quirino,2751,45-5617168-2,6.06E+11,354-650-951-000,1.05E+11,Probationary,Account Rank and File,"Mata, Christian",6/1/2024,"23,250.00","1,500.00",500.00,500.00,"11,625.00",138.39,TRUE
10022,Delos Santos,Kolby ,2/26/1980,Delos Santos.Kolby@motorph.com.ph,739-443-033,06A Gulgowski Extensions,,Bongabon,,Zamboanga del Sur,6085,52-0109570-6,3.57E+11,187-500-345-000,1.13E+11,Probationary,Account Rank and File,"Mata, Christian",6/1/2024,"24,000.00","1,500.00",500.00,500.00,"12,000.00",142.86,TRUE
10023,Santos,Vella ,12/31/1983,Santos.Vella@motorph.com.ph,955-879-269,99A Padberg Spring,,Poblacion,Mabalacat,Lanao del Sur,3959,52-9883524-3,5.49E+11,101-558-994-000,3.60E+11,Probationary,Account Rank and File,"Mata, Christian",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10024,Del Rosario,Tomas,12/18/1978,Del Rosario.Tomas@motorph.com.ph,882-550-989,80A/48 Ledner Ridges,,Poblacion,Kabankalan,Marinduque,8870,45-5866331-6,9.54E+11,560-735-732-000,9.13E+11,Probationary,Account Rank and File,"Mata, Christian",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10025,Tolentino,Jacklyn ,5/19/1984,Tolentino.Jacklyn@motorph.com.ph,675-757-366,96/48 Watsica Flats Suite 734,,Poblacion,Malolos,Ifugao,1844,47-1692793-0,7.54E+11,841-177-857-000,2.11E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"24,000.00","1,500.00",500.00,500.00,"12,000.00",142.86,TRUE
10026,Gutierrez,Percival ,12/18/1970,Gutierrez.Percival@motorph.com.ph,512-899-876,58A Wilderman Walks,,Poblacion,Digos,Davao del Sur,5822,40-9504657-8,7.98E+11,502-995-671-000,2.11E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"24,750.00","1,500.00",500.00,500.00,"12,375.00",147.32,TRUE
10027,Manalaysay,Garfield ,8/28/1986,Manalaysay.Garfield@motorph.com.ph,948-628-136,60 Goyette Valley Suite 219,,Poblacion,Tabuk,Lanao del Sur,3159,45-3298166-4,8.11E+11,336-676-445-000,2.11E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"24,750.00","1,500.00",500.00,500.00,"12,375.00",147.32,TRUE
10028,Villegas,Lizeth ,12/12/1981,Villegas.Lizeth@motorph.com.ph,332-372-215,66/77 Mann Views,,Luisiana,,Dinagat Islands,1263,40-2400719-4,9.34E+11,210-395-397-000,1.22E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"24,000.00","1,500.00",500.00,500.00,"12,000.00",142.86,TRUE
10029,Ramos,Carol ,8/20/1978,Ramos.Carol@motorph.com.ph,250-700-389,72/70 Stamm Spurs,,Bustos,,Iloilo,4550,60-1152206-4,3.52E+11,395-032-717-000,2.12E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10030,Maceda,Emelia ,4/14/1973,Maceda.Emelia@motorph.com.ph,973-358-041,50A/83 Bahringer Oval Suite 145,,Kiamba,,Nueva Ecija,7688,54-1331005-0,4.65E+11,215-973-013-000,5.15E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10031,Aguilar,Delia ,1/27/1989,Aguilar.Delia@motorph.com.ph,529-705-439,95 Cremin Junction,,Surallah,,Cotabato,2809,52-1859253-1,1.36E+11,599-312-588-000,1.10E+11,Probationary,Account Rank and File,"De Leon, Selena",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10032,Castro,John Rafael,2/9/1992,Castro.John Rafael@motorph.com.ph,332-424-955 ,,"Hi-way, Yati",,Liloan,Cebu,,26-7145133-4,6.02E+11,404-768-309-000,6.98E+11,Regular,Sales & Marketing,"Reyes, Isabella",6/1/2024,"52,670.00","1,500.00","1,000.00","1,000.00","26,335.00",313.51,TRUE
10033,Martinez,Carlos Ian,11/16/1990,Martinez.Carlos Ian@motorph.com.ph,078-854-208,,Bulala,,Camalaniugan,,,11-5062972-7,3.81E+11,256-436-296-000,9.93E+11,Regular,Supply Chain and Logistics,"Reyes, Isabella",6/1/2024,"52,670.00","1,500.00","1,000.00","1,000.00","26,335.00",313.51,TRUE
10034,Santos,Beatriz,8/7/1990,Santos.Beatriz@motorph.com.ph,526-639-511,Agapita Building,,,Metro Manila,,,20-2987501-5,9.18E+11,911-529-713-000,8.74E+11,Regular,Customer Service and Relations,"Reyes, Isabella",6/1/2024,"52,670.00","1,500.00","1,000.00","1,000.00","26,335.00",313.51,TRUE
